Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
121826,1219,622.269084
121926,1220,622.597488
122026,1221,622.663951
122126,1222,622.82685
122226,1223,623.178711
122326,1224,623.916317
122426,1225,624.376343
122526,1226,624.807699
122626,1227,624.91847
122726,1228,625.274241
122826,1229,626.126527
122926,1230,626.453628
123026,1231,626.578734
123126,1232,626.857616
123226,1233,627.196446
123326,1234,627.73727
123426,1235,627.996605
123526,1236,628.139955
123626,1237,628.395381
123726,1238,628.73812
123826,1239,629.440539
123926,1240,629.897959
124026,1241,630.242001
124126,1242,630.200299
124226,1243,630.634261
124326,1244,631.076043
124426,1245,631.783675
124526,1246,632.127717
124626,1247,632.400084
124726,1248,632.306254
124826,1249,632.735004
124926,1250,633.251067
125026,1251,633.750189
125126,1252,633.864869
125226,1253,634.267555
125326,1254,634.594656
125426,1255,635.207155
125526,1256,635.609841
125626,1257,635.742766
125726,1258,636.020346
125826,1259,636.549441
125926,1260,636.780105
126026,1261,637.440823
126126,1262,637.804413
126226,1263,637.662365
126326,1264,638.031168
126426,1265,638.466433
126526,1266,638.840449
126626,1267,639.288746
126726,1268,639.703161
126826,1269,639.726618
126926,1270,640.186644
127026,1271,640.469436
127126,1272,641.106696
127226,1273,641.173159
127326,1274,641.484621
127426,1275,641.768717
127526,1276,642.419009
127626,1277,642.567572
127726,1278,642.862093
127826,1279,643.041934
127926,1280,643.451135
128026,1281,644.019326
128126,1282,644.600549
128226,1283,644.905495
128326,1284,644.953713
128426,1285,645.194803
128526,1286,645.551878
128626,1287,645.976718
128726,1288,646.405467
128826,1289,646.673924
128926,1290,646.715626
129026,1291,647.225174
129126,1292,647.712567
129226,1293,648.28988
129326,1294,648.732964
129426,1295,648.618284
129526,1296,648.992299
129626,1297,649.521394
129726,1298,649.903229
129826,1299,650.094798
129926,1300,650.31634
130026,1301,650.424505
130126,1302,651.063068
130226,1303,651.632562
130326,1304,652.041764
130426,1305,652.039158
130526,1306,652.367561
130626,1307,652.712907
130726,1308,653.346257
130826,1309,653.867533
130926,1310,654.284554
131026,1311,654.437027
131126,1312,654.696362
131226,1313,655.015644
131326,1314,655.678967
131426,1315,655.823621
131526,1316,655.913542
131626,1317,656.163754
131726,1318,656.74628
131826,1319,657.121599
131926,1320,657.519072
132026,1321,657.658513
132126,1322,658.010374
132226,1323,658.402635
132326,1324,658.913485
132426,1325,659.110267
132526,1326,659.635452
132626,1327,659.574202
132726,1328,659.979494
