Date/Time: 3/4/2016 3:02:21 PM
Material:  Al 6061 T6
Time (ms)	Displacement (um)	Load (N)
56126	562.000000	375.420130	
56226	563.000000	375.798055	
56326	564.000000	376.624278	
56426	565.000000	377.322788	
56526	566.000000	377.850580	
56626	567.000000	377.945713	
56726	568.000000	378.443531	
56826	569.000000	379.041695	
56926	570.000000	379.909620	
57026	571.000000	380.404832	
57126	572.000000	381.034273	
57226	573.000000	381.245390	
57326	574.000000	381.679352	
57426	575.000000	382.450841	
57526	576.000000	382.966904	
57626	577.000000	383.545520	
57726	578.000000	383.714935	
57826	579.000000	383.995121	
57926	580.000000	384.941237	
58026	581.000000	385.356954	
58126	582.000000	385.583709	
58226	583.000000	385.882140	
58326	584.000000	386.283522	
58426	585.000000	387.028947	
58526	586.000000	387.534585	
58626	587.000000	387.997217	
58726	588.000000	388.036313	
58826	589.000000	388.607110	
58926	590.000000	389.217003	
59026	591.000000	389.740886	
59126	592.000000	390.297348	
59226	593.000000	390.634874	
59326	594.000000	390.964581	
59426	595.000000	391.454581	
59526	596.000000	391.840325	
59626	597.000000	392.568808	
59726	598.000000	392.964978	
59826	599.000000	393.180004	
59926	600.000000	393.608754	
60026	601.000000	394.290322	
60126	602.000000	394.706040	
60226	603.000000	395.201252	
60326	604.000000	395.494470	
60426	605.000000	396.198192	
60526	606.000000	396.397580	
60626	607.000000	396.916250	
60726	608.000000	397.509201	
60826	609.000000	397.492260	
60926	610.000000	397.857153	
61026	611.000000	398.446195	
61126	612.000000	399.303694	
61226	613.000000	399.745476	
61326	614.000000	400.063454	
61426	615.000000	400.214624	
61526	616.000000	400.849278	
61626	617.000000	401.262389	
61726	618.000000	402.058638	
61826	619.000000	402.280180	
61926	620.000000	402.599462	
62026	621.000000	402.960445	
62126	622.000000	403.410046	
62226	623.000000	404.107253	
62326	624.000000	404.476055	
62426	625.000000	404.724965	
62526	626.000000	405.139379	
62626	627.000000	405.788368	
62726	628.000000	406.110256	
62826	629.000000	406.687569	
62926	630.000000	406.737090	
63026	631.000000	406.918234	
63126	632.000000	407.499456	
63226	633.000000	408.140626	
63326	634.000000	408.754428	
63426	635.000000	408.969455	
63526	636.000000	408.712726	
63626	637.000000	408.555040	
63726	638.000000	408.449482	
63826	639.000000	408.639748	
63926	640.000000	408.686662	
64026	641.000000	408.441663	
64126	642.000000	408.289189	
64226	643.000000	408.411689	
64326	644.000000	408.742700	
64426	645.000000	409.132353	
64526	646.000000	409.084135	
64626	647.000000	409.240518	
64726	648.000000	409.485518	
64826	649.000000	409.816528	
64926	650.000000	410.388629	
65026	651.000000	410.388629	
65126	652.000000	410.879931	
65226	653.000000	411.175755	
65326	654.000000	411.996765	
65426	655.000000	412.751312	
65526	656.000000	413.359902	
65626	657.000000	414.496284	
65726	658.000000	415.338144	
65826	659.000000	416.387212	
65926	660.000000	417.530110	
66026	661.000000	418.110030	
66126	662.000000	418.597423	
66226	663.000000	419.031385	
66326	664.000000	419.461438	
66426	665.000000	420.124761	
66526	666.000000	420.889734	
66626	667.000000	421.246808	
66726	668.000000	421.427951	
66826	669.000000	421.924467	
66926	670.000000	422.447046	
67026	671.000000	423.041301	
67126	672.000000	423.178136	
67226	673.000000	423.481779	
67326	674.000000	423.918348	
67426	675.000000	424.486538	
67526	676.000000	425.110767	
67626	677.000000	425.577309	
67726	678.000000	425.828824	
67826	679.000000	426.084249	
67926	680.000000	426.583371	
68026	681.000000	427.263636	
68126	682.000000	427.900896	
68226	683.000000	428.247545	
68326	684.000000	428.514699	
68426	685.000000	429.017730	
68526	686.000000	429.450389	
68626	687.000000	430.044644	
68726	688.000000	430.184085	
68826	689.000000	430.340468	
68926	690.000000	430.668872	
69026	691.000000	431.238366	
69126	692.000000	431.831318	
69227	693.000000	432.205333	
69326	694.000000	432.129748	
69426	695.000000	432.675785	
69526	696.000000	433.127992	
69626	697.000000	433.848656	
69726	698.000000	434.349081	
69826	699.000000	434.523708	
69926	700.000000	434.678788	
70026	701.000000	435.120569	
70126	702.000000	435.723946	
70226	703.000000	436.134451	
70326	704.000000	436.273892	
70426	705.000000	436.260860	
70526	706.000000	436.590568	
70626	707.000000	437.074051	
70726	708.000000	437.298200	
70826	709.000000	437.382907	
70926	710.000000	437.580992	
71026	711.000000	437.982375	
71126	712.000000	438.482799	
71226	713.000000	438.985831	
71326	714.000000	438.981921	
71426	715.000000	439.267320	
71526	716.000000	440.024473	
71626	717.000000	440.256441	
71726	718.000000	440.677372	
71826	719.000000	441.169977	
71926	720.000000	441.089180	
72026	721.000000	441.520535	
72126	722.000000	442.082210	
72226	723.000000	442.692103	
72326	724.000000	443.088273	
72426	725.000000	443.307209	
72526	726.000000	443.677315	
72626	727.000000	444.370612	
72726	728.000000	444.933590	
72826	729.000000	445.234627	
72926	730.000000	445.544786	
73026	731.000000	445.742871	
73126	732.000000	445.968323	
73226	733.000000	446.596461	
73326	734.000000	447.249359	
73426	735.000000	447.676805	
73526	736.000000	447.563428	
73626	737.000000	448.127709	
73726	738.000000	448.491299	
73826	739.000000	449.118133	
73926	740.000000	449.610739	
74026	741.000000	449.846617	
74126	742.000000	450.018638	
74226	743.000000	450.387440	
74326	744.000000	450.902201	
74426	745.000000	451.488636	
74526	746.000000	451.639806	
74626	747.000000	451.916082	
74726	748.000000	452.337013	
74826	749.000000	452.885656	
74926	750.000000	453.522916	
75026	751.000000	454.001186	
75126	752.000000	454.265734	
75226	753.000000	454.496399	
75326	754.000000	455.048951	
75426	755.000000	455.701849	
75526	756.000000	455.984642	
75626	757.000000	456.358657	
75726	758.000000	456.470732	
75826	759.000000	457.001130	
75926	760.000000	457.703549	
76026	761.000000	458.121873	
76126	762.000000	458.071049	
76226	763.000000	458.498495	
76326	764.000000	458.830809	
76426	765.000000	459.578840	
76526	766.000000	459.929398	
76626	767.000000	460.292988	
76726	768.000000	460.283866	
76826	769.000000	460.742589	
76926	770.000000	461.253439	
77026	771.000000	461.661338	
77126	772.000000	461.923279	
77226	773.000000	462.241257	
77326	774.000000	462.583996	
77426	775.000000	463.203011	
77526	776.000000	463.655218	
77626	777.000000	464.042266	
77726	778.000000	464.189526	
77826	779.000000	464.516627	
77926	780.000000	465.078302	
78026	781.000000	465.723381	
78126	782.000000	466.114338	
78226	783.000000	466.415375	
78326	784.000000	466.605641	
78426	785.000000	467.175135	
78526	786.000000	467.486597	
78626	787.000000	468.037846	
78726	788.000000	468.112128	
78826	789.000000	468.337580	
78926	790.000000	468.702473	
79026	791.000000	469.244600	
79126	792.000000	469.688988	
79226	793.000000	470.168562	
79326	794.000000	470.337977	
79426	795.000000	470.682019	
79526	796.000000	471.028668	
79626	797.000000	471.523880	
79726	798.000000	471.764970	
79826	799.000000	472.201539	
79926	800.000000	472.213267	
80026	801.000000	472.776245	
80126	802.000000	473.268851	
80226	803.000000	473.618106	
80326	804.000000	473.444782	
80426	805.000000	473.708026	
80526	806.000000	474.134169	
80626	807.000000	474.841802	
80726	808.000000	475.158477	
80826	809.000000	475.563769	
80926	810.000000	475.464726	
81026	811.000000	475.842652	
81126	812.000000	476.077226	
81226	813.000000	476.731427	
81326	814.000000	476.947757	
81426	815.000000	476.988156	
81526	816.000000	477.363474	
81626	817.000000	477.932968	
81726	818.000000	478.369537	
81826	819.000000	478.836079	
81926	820.000000	478.952063	
82026	821.000000	479.182728	
82126	822.000000	479.757434	
82226	823.000000	480.195306	
82326	824.000000	480.581051	
82426	825.000000	480.938125	
82526	826.000000	480.930305	
82626	827.000000	481.254800	
82726	828.000000	481.696581	
82826	829.000000	482.310384	
82926	830.000000	482.435490	
83026	831.000000	482.689612	
83126	832.000000	483.092298	
83226	833.000000	483.708707	
83326	834.000000	484.087935	
83426	835.000000	484.256046	
83526	836.000000	484.325115	
83626	837.000000	484.766897	
83726	838.000000	485.127881	
83826	839.000000	485.581391	
83926	840.000000	486.050539	
84026	841.000000	486.204316	
84126	842.000000	486.489714	
84226	843.000000	486.992746	
84326	844.000000	487.503596	
84426	845.000000	487.886734	
84526	846.000000	487.914101	
84626	847.000000	488.143462	
84726	848.000000	488.375430	
84826	849.000000	489.171679	
84926	850.000000	489.438833	
85026	851.000000	489.732051	
85126	852.000000	489.596519	
85226	853.000000	489.919710	
85326	854.000000	490.261146	
85426	855.000000	491.009177	
85526	856.000000	491.319336	
85626	857.000000	491.574762	
85726	858.000000	491.695958	
85826	859.000000	492.139043	
85926	860.000000	492.374920	
86026	861.000000	492.695505	
86126	862.000000	492.776303	
86226	863.000000	492.924867	
86326	864.000000	493.102100	
86426	865.000000	493.365345	
86526	866.000000	493.519121	
86626	867.000000	493.631196	
86726	868.000000	493.662472	
86826	869.000000	494.082099	
86926	870.000000	494.496514	
87026	871.000000	495.006061	
87126	872.000000	495.424385	
87226	873.000000	495.450449	
87326	874.000000	495.754092	
87426	875.000000	496.219331	
87526	876.000000	496.949117	
87626	877.000000	497.273612	
87726	878.000000	497.734941	
87826	879.000000	497.987760	
87926	880.000000	498.365685	
88026	881.000000	498.759248	
88126	882.000000	499.330046	
88226	883.000000	499.423875	
88326	884.000000	499.773130	
88426	885.000000	500.303529	
88526	886.000000	500.880842	
88626	887.000000	501.370841	
88726	888.000000	501.580655	
88826	889.000000	501.879085	
88926	890.000000	502.297409	
89026	891.000000	503.021983	
89126	892.000000	503.454642	
89226	893.000000	503.767408	
89326	894.000000	503.695732	
89426	895.000000	504.044987	
89526	896.000000	504.486769	
89626	897.000000	505.211342	
89726	898.000000	505.615331	
89826	899.000000	505.853815	
89926	900.000000	505.945038	
90026	901.000000	506.385516	
90126	902.000000	506.741287	
90226	903.000000	507.286021	
90326	904.000000	507.579239	
90426	905.000000	507.610515	
90526	906.000000	508.001472	
90626	907.000000	508.578785	
90726	908.000000	509.011444	
90826	909.000000	509.161311	
90926	910.000000	509.389370	
91026	911.000000	509.712561	
91126	912.000000	510.331576	
91226	913.000000	510.719927	
91326	914.000000	511.206016	
91426	915.000000	511.170830	
91526	916.000000	511.569606	
91626	917.000000	512.053090	
91726	918.000000	512.649951	
91826	919.000000	512.914499	
91926	920.000000	513.138647	
92026	921.000000	513.554365	
92126	922.000000	514.018301	
92226	923.000000	514.475720	
92326	924.000000	514.912289	
92426	925.000000	515.071278	
92526	926.000000	515.451810	
92626	927.000000	515.854495	
92726	928.000000	516.431808	
92826	929.000000	516.739361	
92926	930.000000	516.771941	
93026	931.000000	516.884015	
93126	932.000000	517.263244	
93226	933.000000	517.914839	
93326	934.000000	518.318828	
93426	935.000000	518.793189	
93526	936.000000	519.228454	
93626	937.000000	519.268853	
93726	938.000000	519.700209	
93826	939.000000	520.342682	
93926	940.000000	520.592894	
94026	941.000000	520.966910	
94126	942.000000	520.874383	
94226	943.000000	521.443877	
94326	944.000000	521.871324	
94426	945.000000	522.382174	
94526	946.000000	522.593291	
94626	947.000000	522.981642	
94726	948.000000	523.119780	
94826	949.000000	523.830018	
94926	950.000000	524.254858	
95031	951.000000	524.609326	
95126	952.000000	524.436002	
95226	953.000000	524.799592	
95326	954.000000	525.310442	
95426	955.000000	525.876027	
95526	956.000000	526.291744	
95626	957.000000	526.192702	
95726	958.000000	526.549776	
95826	959.000000	526.840387	
95926	960.000000	527.598844	
96026	961.000000	527.811264	
96126	962.000000	528.337753	
96226	963.000000	528.305173	
96326	964.000000	528.913763	
96426	965.000000	529.431129	
96526	966.000000	530.033203	
96626	967.000000	530.611819	
96726	968.000000	530.751261	
96826	969.000000	530.825542	
96926	970.000000	531.419797	
97026	971.000000	531.702589	
97126	972.000000	532.225169	
97226	973.000000	532.360700	
97326	974.000000	532.643493	
97426	975.000000	533.160859	
97526	976.000000	533.572667	
97626	977.000000	534.023571	
97726	978.000000	534.246416	
97826	979.000000	534.380645	
